period,view,band,n,share_of_events,mean_predicted,expected_wins,actual_wins,actual_rate,difference_pp,wilson95_low,wilson95_high
confirmation_2025_26,all_events,60-64.9%,135,0.08395522388059702,0.6244041348929407,84.294558210547,81,0.6,-2.4404134892940688,0.5156981593276376,0.6787682502688573
confirmation_2025_26,all_events,65-69.9%,176,0.10945273631840796,0.6800581554897334,119.69023536619306,116,0.6590909090909091,-2.09672463988243,0.5863314255369132,0.7250539489324588
confirmation_2025_26,all_events,70-74.9%,478,0.2972636815920398,0.7249614647540247,346.53158015242377,348,0.7280334728033473,0.30720080493226165,0.6864429229209001,0.7659880499836618
confirmation_2025_26,all_events,75-79.9%,231,0.14365671641791045,0.7722555831289909,178.3910397027969,171,0.7402597402597403,-3.1995842869250612,0.6801102540539505,0.7925490479168764
confirmation_2025_26,all_events,80-84.9%,97,0.06032338308457712,0.8228780146231012,79.81916741844081,79,0.8144329896907216,-0.844502493237953,0.7256389658130932,0.8792709662066717
confirmation_2025_26,all_events,85-89.9%,55,0.034203980099502485,0.8719770065167903,47.95873535842347,52,0.9454545454545454,7.3477538937755105,0.8514693945594621,0.9812767844453155
confirmation_2025_26,all_events,90-94.9%,15,0.009328358208955223,0.9238586725623341,13.857880088435012,14,0.9333333333333333,0.9474660770999233,0.7018347012621998,0.9881331045067315
confirmation_2025_26,all_events,95%+,1,0.0006218905472636816,0.9570941953370835,0.9570941953370835,1,1.0,4.290580466291649,0.20654931437723745,1.0
confirmation_2025_26,best_selection,50-54.9%,0,0.0,,0.0,0,,,,
confirmation_2025_26,best_selection,55-59.9%,0,0.0,,0.0,0,,,,
confirmation_2025_26,best_selection,60-64.9%,0,0.0,,0.0,0,,,,
confirmation_2025_26,best_selection,65-69.9%,22,0.041044776119402986,0.6968716121471273,15.331175467236802,15,0.6818181818181818,-1.5053430328945572,0.47318597741042745,0.8363940681864375
confirmation_2025_26,best_selection,70-74.9%,264,0.4925373134328358,0.7245420946664308,191.27911299193775,204,0.7727272727272727,4.818517806084188,0.7184759944978761,0.8191554858339288
confirmation_2025_26,best_selection,75-79.9%,121,0.22574626865671643,0.773314564867348,93.5710623489491,95,0.7851239669421488,1.1809402074800857,0.7037686638672551,0.8489323430883153
confirmation_2025_26,best_selection,80-84.9%,71,0.13246268656716417,0.8232022070709586,58.44735670203806,60,0.8450704225352113,2.186821546425266,0.7434903714672241,0.9112269572983023
confirmation_2025_26,best_selection,85-89.9%,42,0.07835820895522388,0.8719221900712709,36.62073198299338,40,0.9523809523809523,8.04587623096814,0.8421014760304114,0.9868424750910944
confirmation_2025_26,best_selection,90-94.9%,15,0.027985074626865673,0.9238586725623341,13.857880088435012,14,0.9333333333333333,0.9474660770999233,0.7018347012621998,0.9881331045067315
confirmation_2025_26,best_selection,95%+,1,0.0018656716417910447,0.9570941953370835,0.9570941953370835,1,1.0,4.290580466291649,0.20654931437723745,1.0
all,all_events,50-54.9%,937,0.052964784353626136,0.5248987555814081,491.83013397977936,490,0.5229455709711847,-0.1953184610223424,0.4909362153332549,0.5547675529231937
all,all_events,55-59.9%,1209,0.06833983381380362,0.576080323690252,696.4811113415146,683,0.564929693961952,-1.1150629728299943,0.5368220754703289,0.5926260060230749
all,all_events,60-64.9%,1314,0.0742750551127692,0.6249033150003256,821.1229559104278,821,0.6248097412480974,-0.00935737522281821,0.5983027560153624,0.6505890949767286
