period,view,threshold,n,share_of_events,mean_predicted,expected_wins,actual_wins,actual_rate,difference_pp,wilson95_low,wilson95_high,share_of_matches,wilson995
development,best_selection,0.7,3150,0.90595340811044,0.7817519784565142,2462.51873213802,2453,0.7787301587301587,-0.30218197263555124,0.7638995370359409,0.7928817796306917,0.90595340811044,"[0.7572879992038116, 0.7987813613134779]"
development,best_selection,0.75,1756,0.5050330744895024,0.8292622166641297,1456.1844524622118,1454,0.8280182232346242,-0.1243993429505541,0.8096568587828029,0.844947562670013,0.5050330744895024,"[0.8012887025703263, 0.851817158751815]"
development,best_selection,0.8,1095,0.31492666091458155,0.8627330823063518,944.6927251254552,945,0.863013698630137,0.028061632378517665,0.8413755004107305,0.8821137651410217,0.31492666091458155,"[0.8312423110305691, 0.8895980385057574]"
development,best_selection,0.85,567,0.1630716134598792,0.8992557548753354,509.8780130143152,517,0.9118165784832452,1.2560823607909777,0.8856192801646385,0.9324712645634528,0.1630716134598792,"[0.8724981023480539, 0.9398461365697138]"
development,best_selection,0.9,269,0.07736554501006615,0.9285214563462021,249.77227175712835,256,0.9516728624535316,2.3151406107329464,0.9190842246977103,0.9715428854574756,0.07736554501006615,"[0.9004258154260831, 0.9772124853780886]"
development,best_selection,0.95,43,0.012366983031348864,0.9581022023248521,41.19839469996864,42,0.9767441860465116,1.8641983721659483,0.8794100655939282,0.9958829127256662,0.012366983031348864,"[0.808209713485796, 0.9976167882798554]"
validation,all_events,0.6,4119,0.7287685774946921,0.7487647166326371,3084.161867809832,3093,0.7509104151493081,0.2145698516671013,0.7374731097805648,0.7638801488022305,2.1863057324840764,"[0.7315275968939591, 0.7693351083933361]"
validation,all_events,0.65,3705,0.6555201698513801,0.7624714011949458,2824.9565414272743,2823,0.7619433198380566,-0.052808135688919844,0.7479627020353866,0.7753813183415811,1.96656050955414,"[0.7417597906388069, 0.781015061631674]"
validation,all_events,0.7,3171,0.5610403397027601,0.7765849608571586,2462.5509108780498,2467,0.7779880163986124,0.14030555414538126,0.7631912946946526,0.7921120245000237,1.6831210191082802,"[0.7565963214096565, 0.7980016223202895]"
validation,all_events,0.75,1749,0.309447983014862,0.8186955975062108,1431.8986000383627,1446,0.8267581475128645,0.8062550006653679,0.8083104794087546,0.8437735948514506,0.928343949044586,"[0.7999053347233278, 0.850680001357575]"
validation,all_events,0.8,937,0.16578202406227885,0.859334247392038,805.1961898063396,824,0.87940234791889,2.006810052685204,0.8569865755357905,0.8987199181929287,0.4973460721868365,"[0.8463319016170338, 0.9061450504384144]"
validation,all_events,0.85,464,0.08209483368719038,0.8955005314909166,415.5122466117853,428,0.9224137931034483,2.6913261612531714,0.894457277028038,0.9434334071112628,0.24628450106157113,"[0.880079039675473, 0.9506416231752526]"
validation,all_events,0.9,199,0.035208775654635524,0.9260840245475503,184.29072088496252,190,0.9547738693467337,2.868984479918335,0.9162958276873201,0.976026683954635,0.10562632696390659,"[0.8933547030666178, 0.981550996819853]"
validation,all_events,0.95,27,0.004777070063694267,0.9589056191482828,25.890451717003636,27,1.0,4.109438085171724,0.8754449702581328,0.9999999999999998,0.014331210191082803,"[0.7740950285276794, 1.0]"
validation,best_selection,0.6,1884,1.0,0.7813158112434804,1471.998988382717,1487,0.7892781316348195,0.796232039133915,0.7702835829242989,0.807095409843932,1.0,"[0.7617266804143749, 0.8144199691945845]"
validation,best_selection,0.65,1884,1.0,0.7813158112434804,1471.998988382717,1487,0.7892781316348195,0.796232039133915,0.7702835829242989,0.807095409843932,1.0,"[0.7617266804143749, 0.8144199691945845]"
validation,best_selection,0.7,1816,0.9639065817409767,0.7846111397573836,1424.8538297994087,1435,0.7901982378854625,0.5587098128078893,0.7708686489421287,0.8083026821050384,0.9639065817409767,"[0.7621529658308648, 0.8157361082531953]"
validation,best_selection,0.75,1061,0.5631634819532909,0.8273475087965445,877.8157068331337,889,0.8378887841658812,1.054127536933669,0.8144999856107313,0.8588396876905631,0.5631634819532909,"[0.8036567057509307, 0.8671392457127776]"
validation,best_selection,0.8,631,0.3349256900212314,0.8649424420157771,545.7786809119553,555,0.8795562599049128,1.4613817889135738,0.8518370060657123,0.9026820842435577,0.3349256900212314,"[0.8384270965770806, 0.911323124007851]"
