period,estimator,band,n,share_of_events,mean_predicted,expected_wins,actual_wins,actual_rate,difference_pp,wilson95_low,wilson95_high
SEALED_HOLDOUT_2024_26,data_logit,65-69.9%,371,0.1411182959300114,0.6738861422935215,250.01175879089647,243,0.6549865229110512,-1.8899619382470312,0.6052483391708836,0.7015480337858506
SEALED_HOLDOUT_2024_26,data_logit,70-74.9%,346,0.13160897679726133,0.725158398940964,250.90480603357355,258,0.7456647398843931,2.050634094342907,0.6972536456004543,0.7886807561513143
SEALED_HOLDOUT_2024_26,data_logit,75-79.9%,278,0.10574362875618105,0.7744065161590533,215.28501149221682,227,0.8165467625899281,4.214024643087477,0.7668412835488664,0.857623267324645
SEALED_HOLDOUT_2024_26,data_logit,80-84.9%,205,0.07797641688855078,0.8241518568953228,168.95113066354116,164,0.8,-2.415185689532273,0.7399518286305555,0.8490116879746632
SEALED_HOLDOUT_2024_26,data_logit,85-89.9%,107,0.04069988588817041,0.8713099694816557,93.23016673453716,94,0.8785046728971962,0.7194703415540515,0.8031678343823965,0.9276056583323826
SEALED_HOLDOUT_2024_26,data_logit,90-94.9%,56,0.02130087485736021,0.9175769567774547,51.38430957953746,52,0.9285714285714286,1.0994471793973948,0.8302455193913656,0.9718739634211231
SEALED_HOLDOUT_2024_26,data_logit,95%+,1,0.0003803727653100038,0.9627417560447006,0.9627417560447006,1,1.0,3.725824395529942,0.20654931437723745,1.0
SEALED_HOLDOUT_2024_26,stack_market_elo,50-54.9%,341,0.1297071129707113,0.527215558368491,179.7805054036554,170,0.49853372434017595,-2.8681834028315034,0.44577769888416496,0.5513224177798236
SEALED_HOLDOUT_2024_26,stack_market_elo,55-59.9%,384,0.14606314187904146,0.5752023127968132,220.8776881139763,229,0.5963541666666666,2.115185386985341,0.5465619852318256,0.644237627127851
SEALED_HOLDOUT_2024_26,stack_market_elo,60-64.9%,385,0.14644351464435146,0.6241762813291626,240.3078683117276,236,0.612987012987013,-1.1189268342149616,0.5634462334427179,0.660295340472419
SEALED_HOLDOUT_2024_26,stack_market_elo,65-69.9%,391,0.14872575123621148,0.6753798804563368,264.0735332584277,255,0.6521739130434783,-2.320596741285852,0.6036915331587246,0.6976952572645182
SEALED_HOLDOUT_2024_26,stack_market_elo,70-74.9%,308,0.11715481171548117,0.7245075834244848,223.14833569474135,239,0.775974025974026,5.146644254954113,0.7261738963933659,0.8189749130141362
SEALED_HOLDOUT_2024_26,stack_market_elo,75-79.9%,299,0.11373145682769113,0.7745257421410107,231.5831969001622,225,0.7525083612040134,-2.2017380936997233,0.7005954541656962,0.7980152730049315
SEALED_HOLDOUT_2024_26,stack_market_elo,80-84.9%,256,0.09737542791936098,0.8250522763320388,211.21338274100194,210,0.8203125,-0.4739776332038814,0.7686562241913127,0.8624978677858633
SEALED_HOLDOUT_2024_26,stack_market_elo,85-89.9%,207,0.07873716241917078,0.8714390103627788,180.38787514509522,189,0.9130434782608695,4.160446789809069,0.8667470457761469,0.944288890687485
SEALED_HOLDOUT_2024_26,stack_market_elo,90-94.9%,56,0.02130087485736021,0.9128581152241048,51.120054452549866,55,0.9821428571428571,6.9284741918752335,0.9055436285060242,0.9968407896580255
SEALED_HOLDOUT_2024_26,stack_market_elo,95%+,2,0.0007607455306200076,0.9522732259050048,1.9045464518100097,2,1.0,4.772677409499515,0.34238022750665303,1.0
