period,estimator,threshold,n,share_of_events,mean_predicted,expected_wins,actual_wins,actual_rate,difference_pp,wilson95_low,wilson95_high
development_2021_2023_exposed,ranking_baseline,0.65,2781,0.39058988764044944,0.7423323316093055,2064.4262142054786,2079,0.7475728155339806,0.5240483924675132,0.7310936726305611,0.7633689459283864
development_2021_2023_exposed,ranking_baseline,0.7,1822,0.2558988764044944,0.7779721774879226,1417.465307382995,1446,0.7936333699231614,1.566119243523878,0.7744423875408507,0.8115887789828352
development_2021_2023_exposed,ranking_baseline,0.75,1118,0.15702247191011237,0.8124152516822419,908.2802513807464,921,0.8237924865831843,1.1377234900942335,0.8003613951561709,0.8450060890880696
development_2021_2023_exposed,ranking_baseline,0.8,557,0.07823033707865168,0.8526587608694873,474.93092980430447,466,0.8366247755834829,-1.6033985286004415,0.8036347895475896,0.8650033685310391
development_2021_2023_exposed,ranking_baseline,0.85,233,0.032724719101123595,0.894114647568404,208.32871288343813,195,0.8369098712446352,-5.720477632376875,0.7840777038444924,0.8788129943540026
development_2021_2023_exposed,ranking_baseline,0.9,85,0.011938202247191011,0.9354536517606341,79.5135603996539,74,0.8705882352941177,-6.486541646651645,0.7829519105661322,0.9261764720187473
development_2021_2023_exposed,ranking_baseline,0.95,26,0.003651685393258427,0.9685036110161734,25.18109388642051,23,0.8846153846153846,-8.388822640078885,0.7102409678828635,0.9599675537638938
development_2021_2023_exposed,stack_market_elo,0.55,6255,0.8765414798206278,0.7121429822103067,4454.4543537254685,4395,0.7026378896882494,-0.9505092522057335,0.6911885777466933,0.7138384574767953
development_2021_2023_exposed,stack_market_elo,0.6,5101,0.7148262331838565,0.7431662637395621,3790.891111335506,3771,0.7392668104293276,-0.38994533102344464,0.72704182986059,0.7511316882968012
development_2021_2023_exposed,stack_market_elo,0.65,4000,0.5605381165919282,0.7757059485199417,3102.8237940797667,3123,0.78075,0.5044051480058376,0.7676623088138991,0.7932989637789337
development_2021_2023_exposed,stack_market_elo,0.7,3018,0.4229260089686099,0.8087883517800917,2440.9232456723166,2454,0.8131212723658051,0.433292058571344,0.7988189626725568,0.8266274830644054
development_2021_2023_exposed,stack_market_elo,0.75,2164,0.3032511210762332,0.8422083210853937,1822.5388068287918,1838,0.8493530499075785,0.7144728822184865,0.8336635694196075,0.8638044090840087
development_2021_2023_exposed,stack_market_elo,0.8,1469,0.20585762331838564,0.8743133319523418,1284.3662846379902,1298,0.8835942818243703,0.9280949872028432,0.8661844033222507,0.8990031823819092
