period,estimator,band,n,share_of_events,mean_predicted,expected_wins,actual_wins,actual_rate,difference_pp,wilson95_low,wilson95_high
development_2021_2023_exposed,stack_market_elo,65-69.9%,982,0.13761210762331838,0.6740331450177702,661.9005484074504,669,0.6812627291242362,0.7229584106466014,0.6514595447224887,0.7096532861639933
development_2021_2023_exposed,stack_market_elo,70-74.9%,854,0.11967488789237668,0.7241035583647828,618.3844388435245,616,0.7213114754098361,-0.27920829549467063,0.6903010085055143,0.7503398536412631
development_2021_2023_exposed,stack_market_elo,75-79.9%,695,0.09739349775784753,0.7743489527925203,538.1725221908016,540,0.7769784172661871,0.2629464473666854,0.7445554675290149,0.8063563238945985
development_2021_2023_exposed,stack_market_elo,80-84.9%,598,0.08380044843049328,0.8233877209513512,492.385857128908,500,0.8361204013377926,1.2732680386441486,0.8043237017045067,0.8636262942756926
development_2021_2023_exposed,stack_market_elo,85-89.9%,403,0.056474215246636775,0.8738418328320912,352.1582586313327,348,0.8635235732009926,-1.0318259631098559,0.8265568915241394,0.8936253653415084
development_2021_2023_exposed,stack_market_elo,90-94.9%,299,0.04190022421524664,0.9241890948995656,276.3325393749701,285,0.9531772575250836,2.8988162625518066,0.9229509198757542,0.9719067427947101
development_2021_2023_exposed,stack_market_elo,95%+,169,0.023682735426008968,0.9673942574128959,163.4896295027794,165,0.9763313609467456,0.8937103533849688,0.9407313576010835,0.9907581189314049
SEALED_HOLDOUT_2024_2025,market_multiplicative,50-54.9%,700,0.1381760757994473,0.5258528127478899,368.0969689235229,382,0.5457142857142857,1.9861472966395843,0.5086800297870259,0.5822495385098371
SEALED_HOLDOUT_2024_2025,market_multiplicative,55-59.9%,870,0.17173312277931307,0.575341495506538,500.5471010906881,494,0.5678160919540229,-0.7525403552515075,0.5346715665623436,0.6003643702301824
SEALED_HOLDOUT_2024_2025,market_multiplicative,60-64.9%,829,0.16363995262534545,0.6243232347162423,517.5639615797649,499,0.6019300361881785,-2.2393198528063762,0.5682120753783584,0.6347076978991444
SEALED_HOLDOUT_2024_2025,market_multiplicative,65-69.9%,646,0.12751677852348994,0.6739644682304899,435.3810464768965,460,0.7120743034055728,3.810983517508282,0.6759846217192411,0.7456566821416175
SEALED_HOLDOUT_2024_2025,market_multiplicative,70-74.9%,574,0.11330438215554678,0.7248051309333566,416.0381451557467,404,0.7038327526132404,-2.0972378320116225,0.6652269755224531,0.7397283914350619
SEALED_HOLDOUT_2024_2025,market_multiplicative,75-79.9%,446,0.08803789972364785,0.7741553821358125,345.27330043257234,343,0.7690582959641256,-0.5097086171686915,0.7277481592889126,0.8057731409246889
SEALED_HOLDOUT_2024_2025,market_multiplicative,80-84.9%,411,0.08112909593367548,0.8235866388468532,338.4941085660567,338,0.8223844282238443,-0.12022106230089591,0.7825004314145054,0.8562978235943803
SEALED_HOLDOUT_2024_2025,market_multiplicative,85-89.9%,257,0.05073035925779708,0.8745395041761219,224.75665257326332,226,0.8793774319066148,0.48379277304928525,0.8338732471672454,0.9137072980483278
SEALED_HOLDOUT_2024_2025,market_multiplicative,90-94.9%,208,0.04105803395183577,0.9236064920727893,192.1101503511402,191,0.9182692307692307,-0.5337261303558605,0.8730218458710761,0.9483471201880005
SEALED_HOLDOUT_2024_2025,market_multiplicative,95%+,125,0.0246742992499013,0.968468247714712,121.058530964339,120,0.96,-0.8468247714711996,0.9097744468602555,0.9827953909280842
SEALED_HOLDOUT_2024_2025,market_additive,50-54.9%,700,0.1381760757994473,0.5259095684426431,368.1366979098502,382,0.5457142857142857,1.980471727164257,0.5086800297870259,0.5822495385098371
