period,estimator,group,n,log_loss,top_pick_accuracy,n_ge_80,share_ge_80,mean_p_ge_80,win_rate_ge_80,wilson_low,wilson_high
development_2021_2023_exposed,elo_global,tourney_level=D,94,0.614394454739968,0.6595744680851063,18,0.19148936170212766,0.8658196911152732,0.9444444444444444,0.7424269921812741,0.990124809021697
development_2021_2023_exposed,elo_global,tourney_level=F,39,0.5648587327650436,0.6410256410256411,3,0.07692307692307693,0.8247003536121938,1.0,0.4385029682449546,1.0
development_2021_2023_exposed,elo_global,tourney_level=G,1412,0.569161803456694,0.7230878186968839,210,0.14872521246458922,0.8625925156812798,0.9285714285714286,0.8855063808281706,0.9562387185210154
development_2021_2023_exposed,elo_global,tourney_level=M,1567,0.6489643103906091,0.629865985960434,180,0.1148691767708998,0.852693545998073,0.7833333333333333,0.7175674631262889,0.8372584213847969
development_2021_2023_exposed,elo_global,tourney_level=O,1,0.2114628150698651,1.0,1,1.0,0.8093993779524672,1.0,0.20654931437723745,1.0
development_2021_2023_exposed,elo_global,best_of=3,5697,0.6492878739126307,0.6122520624890293,441,0.07740916271721959,0.8519134804654084,0.8117913832199547,0.772675754243059,0.8455220205979918
development_2021_2023_exposed,elo_global,best_of=5,1439,0.5708552780083589,0.7199444058373871,210,0.1459346768589298,0.8625925156812798,0.9285714285714286,0.8855063808281706,0.9562387185210154
SEALED_HOLDOUT_2024_2025,market_multiplicative,year=2024,2620,0.5806505189892969,0.6858778625954198,541,0.2064885496183206,0.873159678071197,0.8835489833641405,0.8537753707016125,0.9079140956217926
SEALED_HOLDOUT_2024_2025,market_multiplicative,year=2025,2446,0.5964420032398997,0.678659035159444,460,0.18806214227309895,0.8783479491701777,0.8630434782608696,0.8286051661907993,0.8914684573468358
SEALED_HOLDOUT_2024_2025,market_multiplicative,surface=Clay,1496,0.5881366371755089,0.6858288770053476,284,0.18983957219251338,0.8710540837056798,0.8697183098591549,0.825585537940597,0.9039827489225398
SEALED_HOLDOUT_2024_2025,market_multiplicative,surface=Grass,592,0.5671725847259026,0.7094594594594594,142,0.23986486486486486,0.8831636532882714,0.8661971830985915,0.8004638637535058,0.9126392609749951
SEALED_HOLDOUT_2024_2025,market_multiplicative,surface=Hard,2978,0.5925395971472315,0.6752854264607119,575,0.1930826057756884,0.8758797285486114,0.8782608695652174,0.8489949292598667,0.902506182782539
SEALED_HOLDOUT_2024_2025,market_multiplicative,tourney_level=250,1618,0.6240475192270176,0.6520395550061805,135,0.0834363411619283,0.8453064276184316,0.8148148148148148,0.7409068999035056,0.8713021673447194
SEALED_HOLDOUT_2024_2025,market_multiplicative,tourney_level=500,850,0.5832179653212977,0.691764705882353,167,0.19647058823529412,0.8666069088481297,0.8862275449101796,0.8291426332888994,0.9259434031479081
SEALED_HOLDOUT_2024_2025,market_multiplicative,tourney_level=A,124,0.6155499545843338,0.6854838709677419,24,0.1935483870967742,0.8680126791749126,0.8333333333333334,0.6414692935030095,0.9332132367136705
SEALED_HOLDOUT_2024_2025,market_multiplicative,tourney_level=D,109,0.5477974047883573,0.6972477064220184,32,0.29357798165137616,0.8678562131309683,0.90625,0.7578184527161212,0.9675984487016337
SEALED_HOLDOUT_2024_2025,market_multiplicative,tourney_level=F,23,0.6289952371680464,0.6086956521739131,9,0.391304347826087,0.858281220674301,0.8888888888888888,0.5650002944233439,0.9801091123614551
SEALED_HOLDOUT_2024_2025,market_multiplicative,tourney_level=G,968,0.49743973380132783,0.753099173553719,383,0.3956611570247934,0.8950011038358061,0.9007832898172323,0.8667477765446031,0.9268589918092985
SEALED_HOLDOUT_2024_2025,market_multiplicative,tourney_level=M,1316,0.6200737547009876,0.6572948328267477,231,0.17553191489361702,0.8679848458705601,0.8441558441558441,0.7917966720914348,0.8852558415424524
SEALED_HOLDOUT_2024_2025,market_multiplicative,tourney_level=O,58,0.46057961367057293,0.7758620689655172,20,0.3448275862068966,0.8980782338501246,1.0,0.8388748419471806,1.0
SEALED_HOLDOUT_2024_2025,market_multiplicative,best_of=3,4079,0.6092811772490656,0.6658494729100269,617,0.15126256435400834,0.8635343376861461,0.8589951377633711,0.8293078757486926,0.8842398322949857
SEALED_HOLDOUT_2024_2025,market_multiplicative,best_of=5,987,0.5014625913655638,0.7507598784194529,384,0.3890577507598784,0.8948405106834558,0.8984375,0.864170220680814,0.9248119601578495
SEALED_HOLDOUT_2024_2025,elo_global,year=2024,2620,0.6192731141619523,0.6442748091603053,420,0.16030534351145037,0.8683299533143527,0.8571428571428571,0.8204352436514356,0.8873765896570062
SEALED_HOLDOUT_2024_2025,elo_global,year=2025,2446,0.6250811053168326,0.6418642681929682,370,0.15126737530662307,0.8695308861485034,0.8324324324324325,0.7910032740476729,0.8670296813554603
SEALED_HOLDOUT_2024_2025,elo_global,surface=Clay,1496,0.6302950818733933,0.6310160427807486,219,0.1463903743315508,0.8678565079829321,0.8401826484018264,0.7858508232458763,0.8827859770538853
SEALED_HOLDOUT_2024_2025,elo_global,surface=Grass,592,0.6082502157650356,0.6773648648648649,106,0.17905405405405406,0.8754440276970957,0.839622641509434,0.7581004033908071,0.8973897983328721
SEALED_HOLDOUT_2024_2025,elo_global,surface=Hard,2978,0.6206979088293457,0.642377434519812,465,0.15614506380120888,0.8678868087802581,0.8494623655913979,0.8141036134476167,0.8790944685170043
SEALED_HOLDOUT_2024_2025,elo_global,tourney_level=250,1618,0.6595756767924571,0.6087762669962917,106,0.06551297898640297,0.8439795270970845,0.7264150943396226,0.6347527565057559,0.8022407113100302
SEALED_HOLDOUT_2024_2025,elo_global,tourney_level=500,850,0.6150946361212358,0.6576470588235294,143,0.16823529411764707,0.869394742594862,0.8671328671328671,0.8017942968727334,0.9132626144605562
SEALED_HOLDOUT_2024_2025,elo_global,tourney_level=A,124,0.6465899556469479,0.6129032258064516,23,0.18548387096774194,0.864120773316826,0.782608695652174,0.5809651698373599,0.9033602197341379
SEALED_HOLDOUT_2024_2025,elo_global,tourney_level=D,109,0.5969266556865239,0.6330275229357798,10,0.09174311926605505,0.866949817471786,1.0,0.7224672001371107,0.9999999999999999
SEALED_HOLDOUT_2024_2025,elo_global,tourney_level=F,23,0.5547022921924719,0.6086956521739131,9,0.391304347826087,0.854595973895818,0.8888888888888888,0.5650002944233439,0.9801091123614551
SEALED_HOLDOUT_2024_2025,elo_global,tourney_level=G,968,0.5402290028081967,0.7231404958677686,256,0.2644628099173554,0.8791517892247181,0.8984375,0.8553490986352725,0.9297450157753611
SEALED_HOLDOUT_2024_2025,elo_global,tourney_level=M,1316,0.6464111458215723,0.6193009118541033,227,0.17249240121580547,0.8683107163853737,0.8149779735682819,0.7593700421575965,0.8601027368247748
SEALED_HOLDOUT_2024_2025,elo_global,tourney_level=O,58,0.5138103732076094,0.6896551724137931,16,0.27586206896551724,0.8896687385339537,1.0,0.8063923194655637,1.0
SEALED_HOLDOUT_2024_2025,elo_global,best_of=3,4079,0.640881890789294,0.62515322382937,532,0.13042412355969601,0.8641438971926612,0.8195488721804511,0.7846165743806179,0.849899464651316
SEALED_HOLDOUT_2024_2025,elo_global,best_of=5,987,0.5443634348325789,0.7173252279635258,258,0.2613981762917933,0.8786839339553435,0.8992248062015504,0.8564384406229574,0.9302971700316806
