match_id,status,market_id
WTA-2021-06934,MATCHED,1.178936357
WTA-2021-06935,MATCHED,1.178937525
WTA-2021-06936,MATCHED,1.178936698
WTA-2021-06937,UNMATCHED,
WTA-2021-06938,MATCHED,1.178925346
WTA-2021-06939,MATCHED,1.178936356
WTA-2021-06940,MATCHED,1.178927133
WTA-2021-06941,MATCHED,1.178927699
WTA-2021-06942,MATCHED,1.178926019
WTA-2021-06943,MATCHED,1.178937530
WTA-2021-06944,MATCHED,1.178937521
WTA-2021-06945,UNMATCHED,
WTA-2021-06946,MATCHED,1.178936353
WTA-2021-06947,AMBIGUOUS,
WTA-2021-06948,UNMATCHED,
WTA-2021-06949,MATCHED,1.178935836
WTA-2021-06950,MATCHED,1.178934729
WTA-2021-06951,MATCHED,1.178937532
WTA-2021-06952,MATCHED,1.178925532
WTA-2021-06953,UNMATCHED,
WTA-2021-06954,MATCHED,1.178937531
WTA-2021-06955,MATCHED,1.178937517
WTA-2021-06956,MATCHED,1.178934767
WTA-2021-06957,MATCHED,1.178937529
WTA-2021-06958,MATCHED,1.178936358
WTA-2021-06959,MATCHED,1.178926603
WTA-2021-06960,MATCHED,1.178936354
WTA-2021-06961,MATCHED,1.178926465
WTA-2021-06962,MATCHED,1.178936351
WTA-2021-06963,MATCHED,1.178928974
WTA-2021-06964,MATCHED,1.178927827
WTA-2021-06965,MATCHED,1.178936350
WTA-2021-06966,MATCHED,1.178937518
WTA-2021-06967,MATCHED,1.178936359
WTA-2021-06968,MATCHED,1.178936366
WTA-2021-06969,MATCHED,1.178936360
WTA-2021-06970,MATCHED,1.178936352
WTA-2021-06971,MATCHED,1.178936355
WTA-2021-06972,MATCHED,1.178936361
WTA-2021-06973,MATCHED,1.178927071
WTA-2021-06974,MATCHED,1.178937528
WTA-2021-06975,MATCHED,1.178936179
WTA-2021-06976,MATCHED,1.178937520
WTA-2021-06977,MATCHED,1.178925875
WTA-2021-06978,MATCHED,1.178936367
WTA-2021-06979,MATCHED,1.178928445
WTA-2021-06980,MATCHED,1.178936365
WTA-2021-06981,MATCHED,1.178925408
WTA-2021-06982,MATCHED,1.178934768
WTA-2021-06983,MATCHED,1.178925470
WTA-2021-06984,MATCHED,1.178926922
WTA-2021-06985,MATCHED,1.178936368
WTA-2021-06986,MATCHED,1.178936364
WTA-2021-06987,MATCHED,1.178935838
WTA-2021-06988,MATCHED,1.178937527
WTA-2021-06989,MATCHED,1.178937534
WTA-2021-06990,MATCHED,1.178928912
WTA-2021-06991,MATCHED,1.178937533
WTA-2021-06992,MATCHED,1.178936362
WTA-2021-06993,MATCHED,1.178937519
WTA-2021-06994,MATCHED,1.179094279
WTA-2021-06995,MATCHED,1.179140927
WTA-2021-06996,MATCHED,1.179135318
WTA-2021-06997,MATCHED,1.179102848
WTA-2021-06998,UNMATCHED,
WTA-2021-06999,MATCHED,1.179134856
WTA-2021-07000,MATCHED,1.179138208
WTA-2021-07001,MATCHED,1.179140525
WTA-2021-07002,UNMATCHED,
WTA-2021-07003,MATCHED,1.179134880
WTA-2021-07004,MATCHED,1.179102957
WTA-2021-07005,MATCHED,1.179135236
WTA-2021-07006,MATCHED,1.179087963
WTA-2021-07007,MATCHED,1.179135084
WTA-2021-07008,MATCHED,1.179145321
WTA-2021-07009,MATCHED,1.179135000
WTA-2021-07010,MATCHED,1.179145244
WTA-2021-07011,MATCHED,1.179144858
WTA-2021-07012,MATCHED,1.179145041
WTA-2021-07013,MATCHED,1.179136074
WTA-2021-07014,MATCHED,1.179092485
WTA-2021-07015,MATCHED,1.179077572
WTA-2021-07016,MATCHED,1.179093083
WTA-2021-07017,MATCHED,1.179087817
WTA-2021-07018,MATCHED,1.179077576
WTA-2021-07019,MATCHED,1.179144969
WTA-2021-07020,MATCHED,1.179101656
WTA-2021-07021,MATCHED,1.179102111
WTA-2021-07022,MATCHED,1.179097206
WTA-2021-07023,MATCHED,1.179101593
WTA-2021-07024,MATCHED,1.179145400
WTA-2021-07025,MATCHED,1.179087879
WTA-2021-07026,MATCHED,1.179178400
WTA-2021-07027,MATCHED,1.179211816
WTA-2021-07028,MATCHED,1.179211880
WTA-2021-07029,MATCHED,1.179223284
WTA-2021-07030,MATCHED,1.179207660
WTA-2021-07031,MATCHED,1.179187441
WTA-2021-07032,MATCHED,1.179192140
WTA-2021-07033,MATCHED,1.179217727
WTA-2021-07034,AMBIGUOUS,
WTA-2021-07035,MATCHED,1.179207530
WTA-2021-07036,MATCHED,1.179185930
WTA-2021-07037,MATCHED,1.179192965
WTA-2021-07038,MATCHED,1.179185993
WTA-2021-07039,MATCHED,1.179214891
WTA-2021-07040,MATCHED,1.179194115
WTA-2021-07041,MATCHED,1.179191456
WTA-2021-07042,AMBIGUOUS,
WTA-2021-07043,MATCHED,1.179293496
WTA-2021-07044,MATCHED,1.179292783
WTA-2021-07045,MATCHED,1.179296420
WTA-2021-07046,MATCHED,1.179259631
WTA-2021-07047,MATCHED,1.179253839
WTA-2021-07048,MATCHED,1.179270374
WTA-2021-07049,MATCHED,1.179253901
WTA-2021-07050,MATCHED,1.179374225
WTA-2021-07051,MATCHED,1.179384583
WTA-2021-07052,MATCHED,1.179331003
WTA-2021-07053,MATCHED,1.179348642
WTA-2021-07054,MATCHED,1.179463338
WTA-2021-07055,AMBIGUOUS,
WTA-2021-07056,MATCHED,1.179499865
WTA-2021-07057,MATCHED,1.179307894
WTA-2021-07058,MATCHED,1.179287373
WTA-2021-07059,MATCHED,1.179287435
WTA-2021-07060,MATCHED,1.179308148
WTA-2021-07061,MATCHED,1.179287061
WTA-2021-07062,AMBIGUOUS,
WTA-2021-07063,MATCHED,1.179307957
WTA-2021-07064,MATCHED,1.179287559
WTA-2021-07065,MATCHED,1.179287185
WTA-2021-07066,UNMATCHED,
WTA-2021-07067,MATCHED,1.179298458
WTA-2021-07068,MATCHED,1.179298334
WTA-2021-07069,MATCHED,1.179327831
WTA-2021-07070,MATCHED,1.179287683
WTA-2021-07071,MATCHED,1.179287497
WTA-2021-07072,MATCHED,1.179286998
WTA-2021-07073,MATCHED,1.179287311
WTA-2021-07074,MATCHED,1.179308085
WTA-2021-07075,MATCHED,1.179327769
WTA-2021-07076,MATCHED,1.179298272
WTA-2021-07077,MATCHED,1.179287621
WTA-2021-07078,MATCHED,1.179286999
WTA-2021-07079,MATCHED,1.179308020
WTA-2021-07080,MATCHED,1.179298396
WTA-2021-07081,MATCHED,1.179347093
WTA-2021-07082,MATCHED,1.179347449
WTA-2021-07083,UNMATCHED,
WTA-2021-07084,MATCHED,1.179307768
WTA-2021-07085,MATCHED,1.179369649
WTA-2021-07086,MATCHED,1.179307831
WTA-2021-07087,MATCHED,1.179367929
WTA-2021-07088,MATCHED,1.179361778
WTA-2021-07089,MATCHED,1.179347511
WTA-2021-07090,MATCHED,1.179308211
WTA-2021-07091,MATCHED,1.179348579
WTA-2021-07092,MATCHED,1.179347743
WTA-2021-07093,MATCHED,1.179362020
WTA-2021-07094,MATCHED,1.179347387
WTA-2021-07095,MATCHED,1.179347155
WTA-2021-07096,MATCHED,1.179404174
WTA-2021-07097,UNMATCHED,
WTA-2021-07098,MATCHED,1.179387849
WTA-2021-07099,MATCHED,1.179383162
WTA-2021-07100,UNMATCHED,
WTA-2021-07101,MATCHED,1.179388035
WTA-2021-07102,MATCHED,1.179388569
WTA-2021-07103,MATCHED,1.179387973
WTA-2021-07104,MATCHED,1.179433955
WTA-2021-07105,UNMATCHED,
WTA-2021-07106,MATCHED,1.179434017
WTA-2021-07107,UNMATCHED,
WTA-2021-07108,UNMATCHED,
WTA-2021-07109,MATCHED,1.179478022
WTA-2021-07110,MATCHED,1.179509829
WTA-2021-07111,MATCHED,1.179615244
WTA-2021-07112,UNMATCHED,
WTA-2021-07113,UNMATCHED,
WTA-2021-07114,MATCHED,1.179668838
WTA-2021-07115,UNMATCHED,
WTA-2021-07116,MATCHED,1.179668962
WTA-2021-07117,MATCHED,1.179669024
WTA-2021-07118,MATCHED,1.179669148
WTA-2021-07119,MATCHED,1.179643633
WTA-2021-07120,MATCHED,1.179615306
WTA-2021-07121,UNMATCHED,
WTA-2021-07122,MATCHED,1.179656548
WTA-2021-07123,MATCHED,1.179741090
WTA-2021-07124,MATCHED,1.179730676
WTA-2021-07125,UNMATCHED,
WTA-2021-07126,UNMATCHED,
WTA-2021-07127,MATCHED,1.179730513
WTA-2021-07128,UNMATCHED,
WTA-2021-07129,MATCHED,1.179667908
WTA-2021-07130,UNMATCHED,
WTA-2021-07131,UNMATCHED,
WTA-2021-07132,UNMATCHED,
WTA-2021-07133,MATCHED,1.179764605
WTA-2021-07134,UNMATCHED,
WTA-2021-07135,UNMATCHED,
WTA-2021-07136,UNMATCHED,
WTA-2021-07137,MATCHED,1.179820873
WTA-2021-07138,MATCHED,1.179988396
WTA-2021-07139,MATCHED,1.179926124
WTA-2021-07140,MATCHED,1.179926340
WTA-2021-07141,MATCHED,1.179925960
WTA-2021-07142,MATCHED,1.179926413
WTA-2021-07143,MATCHED,1.179988571
WTA-2021-07144,MATCHED,1.179988591
WTA-2021-07145,MATCHED,1.179925736
WTA-2021-07146,MATCHED,1.179925865
WTA-2021-07147,MATCHED,1.179988259
WTA-2021-07148,MATCHED,1.179988395
WTA-2021-07149,MATCHED,1.179926133
WTA-2021-07150,MATCHED,1.179867856
WTA-2021-07151,MATCHED,1.179867194
WTA-2021-07152,UNMATCHED,
WTA-2021-07153,MATCHED,1.179867726
