market,period,method,band,n,share_of_events,mean_predicted,expected_wins,actual_wins,actual_rate,difference_pp,wilson95_low,wilson95_high
football_1x2::all_books_closing,validation,shin,70-74.9%,107,0.046120689655172416,0.7234351174640263,77.40755756865082,87,0.8130841121495327,8.964899468550636,0.7288517015069753,0.8756152616027801
football_1x2::all_books_closing,validation,shin,75-79.9%,95,0.040948275862068964,0.7749103915312116,73.6164871954651,73,0.7684210526315789,-0.6489338899632657,0.6741746146961753,0.8418032007721075
football_1x2::all_books_closing,validation,shin,80-84.9%,69,0.029741379310344828,0.8211165422857946,56.657041417719824,54,0.782608695652174,-3.8507846633620613,0.6718170359123908,0.8635923398937974
football_1x2::all_books_closing,validation,shin,85-89.9%,29,0.0125,0.870539153550672,25.245635452969488,28,0.9655172413793104,9.497808782863837,0.8282447812067973,0.9938867857072374
football_1x2::all_books_closing,validation,shin,90-94.9%,14,0.00603448275862069,0.9104263725845108,12.74596921618315,13,0.9285714285714286,1.8145055986917846,0.6853129557584889,0.9872777847521093
football_1x2::all_books_closing,validation,shin,95%+,0,0.0,,0.0,0,,,,
football_1x2::all_books_opening,development,multiplicative,50-54.9%,394,0.1132509341764875,0.5243510137621835,206.5942994223003,210,0.5329949238578681,0.8643910095684548,0.4836505454701728,0.5817021205819547
football_1x2::all_books_opening,development,multiplicative,55-59.9%,301,0.08651911468812877,0.573747729396786,172.69806654843256,174,0.5780730897009967,0.43253603042107125,0.521640798303265,0.632537705440365
football_1x2::all_books_opening,development,multiplicative,60-64.9%,223,0.06409887898821501,0.6227954250692617,138.88337979044536,143,0.6412556053811659,1.8460180311904217,0.5764018133045248,0.7013251962444575
football_1x2::all_books_opening,development,multiplicative,65-69.9%,137,0.03937913193446393,0.6742752513874647,92.37570944008266,94,0.6861313868613139,1.1856135473849228,0.6042458140722458,0.7578634712691419
football_1x2::all_books_opening,development,multiplicative,70-74.9%,129,0.03707962058062662,0.7250436121286044,93.53062596458996,96,0.7441860465116279,1.9142434383023543,0.6625928896044233,0.8116566448352407
football_1x2::all_books_opening,development,multiplicative,75-79.9%,80,0.022995113538373097,0.7732405645992536,61.85924516794029,63,0.7875,1.4259435400746368,0.6857784426940333,0.8628761328230384
football_1x2::all_books_opening,development,multiplicative,80-84.9%,86,0.024719747053751077,0.8209219778657666,70.59929009645593,73,0.8488372093023255,2.791523143655894,0.7583643480040613,0.9094787701686765
football_1x2::all_books_opening,development,multiplicative,85-89.9%,27,0.0077608508192009195,0.8621588838912863,23.27828986506473,25,0.9259259259259259,6.376704203463968,0.7663040731697686,0.9794453459390113
football_1x2::all_books_opening,development,multiplicative,90-94.9%,0,0.0,,0.0,0,,,,
football_1x2::all_books_opening,development,multiplicative,95%+,0,0.0,,0.0,0,,,,
